logMicros,flightMicros,logDt,state,voltage,yaw,pitch,roll,aX,aY,aZ,gX,gY,gZ,altitude,temp,yPID,zPID,yServo,zServo,pyro1,pyro2,pyro1Cont,pyro2Cont,abort
33534308,0,16859,1,8.21,-0.01,-0.01,0,9.68,-0.03,0.07,0,0,0,-0.28,18.27,0,0,0,0,0,0,1,0,0
33553400,0,19092,1,8.22,-0.01,-0.01,0,9.68,-0.06,0.09,0,0,0,-0.26,18.26,0,0,0,0,0,0,1,0,0
33570095,0,16695,1,8.22,-0.01,-0.01,0,9.68,-0.04,0.07,0,0,0,-0.24,18.27,0,0,0,0,0,0,1,0,0
33587162,0,17067,1,8.21,-0.01,-0.01,0,9.68,-0.04,0.11,0,0,0,-0.23,18.28,0,0,0,0,0,0,1,0,0
33604208,0,17046,1,8.22,-0.01,-0.01,0,9.68,-0.04,0.08,0,0,0,-0.23,18.27,0,0,0,0,0,0,1,0,0
33621312,0,17104,1,8.21,-0.01,-0.01,0,9.67,-0.04,0.06,0,0,0,-0.24,18.27,0,0,0,0,0,0,1,0,0
33639240,0,17928,1,8.21,-0.01,-0.01,0,9.69,-0.05,0.07,0,0,0,-0.24,18.27,0,0,0,0,0,0,1,0,0
33656630,0,17390,1,8.22,-0.01,-0.01,0,9.66,-0.03,0.1,0,0,0,-0.26,18.27,0,0,0,0,0,0,1,0,0
33673619,0,16989,1,8.21,-0.01,-0.01,0,9.66,-0.05,0.1,0,0,0,-0.25,18.27,0,0,0,0,0,0,1,0,0
33690320,0,16701,1,8.22,-0.01,-0.01,0,9.69,-0.03,0.09,0,0,0,-0.26,18.27,0,0,0,0,0,0,1,0,0
33707477,0,17157,1,8.22,-0.01,-0.01,0,9.65,-0.03,0.05,0,0,0,-0.28,18.26,0,0,0,0,0,0,1,0,0
33725436,0,17959,1,8.21,-0.01,-0.01,0,9.7,-0.05,0.13,0,0,0,-0.26,18.28,0,0,0,0,0,0,1,0,0
33742804,0,17368,1,8.22,-0.01,-0.01,0,9.65,-0.03,0.08,0,0,0,-0.25,18.28,0,0,0,0,0,0,1,0,0
33760815,0,18011,1,8.22,-0.01,-0.01,0,9.68,-0.04,0.09,0,0,0,-0.23,18.27,0,0,0,0,0,0,1,0,0
33779451,0,18636,1,8.22,-0.01,-0.01,0,9.67,-0.06,0.09,0,0,0,-0.23,18.27,0,0,0,0,0,0,1,0,0
33796552,0,17101,1,8.22,-0.01,-0.01,0,9.68,-0.04,0.09,0,0,0,-0.21,18.26,0,0,0,0,0,0,1,0,0
33813943,0,17391,1,8.23,-0.01,-0.01,0,9.67,-0.04,0.08,0,0,0,-0.21,18.28,0,0,0,0,0,0,1,0,0
33831486,0,17543,1,8.22,-0.01,-0.01,0,9.66,-0.03,0.08,0,0,0,-0.19,18.27,0,0,0,0,0,0,1,0,0
33848319,0,16833,1,8.21,-0.01,-0.01,0,9.65,-0.05,0.08,0,0,0,-0.17,18.26,0,0,0,0,0,0,1,0,0
33865364,0,17045,1,8.21,-0.01,-0.01,0,9.69,-0.04,0.11,0,0,0,-0.18,18.28,0,0,0,0,0,0,1,0,0
33882409,0,17045,1,8.21,-0.01,-0.01,0,9.65,-0.05,0.08,0,0,0,-0.19,18.27,0,0,0,0,0,0,1,0,0
33899406,0,16997,1,8.21,-0.01,-0.01,0,9.67,-0.06,0.08,0,0,0,-0.19,18.27,0,0,0,0,0,0,1,0,0
33918104,0,18698,1,8.21,-0.01,-0.01,0,9.68,-0.04,0.08,0,0,0,-0.18,18.28,0,0,0,0,0,0,1,0,0
33935149,0,17045,1,8.2,-0.01,-0.01,0,9.69,-0.05,0.09,0,0,0,-0.17,18.27,0,0,0,0,0,0,1,0,0
33953114,0,17965,1,8.21,-0.01,-0.01,0,9.65,-0.05,0.07,0,0,0,-0.16,18.28,0,0,0,0,0,0,1,0,0
33970159,0,17045,1,8.22,-0.01,-0.01,0,9.68,-0.04,0.07,0,0,0,-0.15,18.27,0,0,0,0,0,0,1,0,0
33987559,0,17400,1,8.21,-0.01,-0.01,0,9.65,-0.05,0.08,0,0,0,-0.13,18.28,0,0,0,0,0,0,1,0,0
34004660,0,17101,1,8.21,-0.01,-0.01,0,9.69,-0.05,0.09,0,0,0,-0.14,18.27,0,0,0,0,0,0,1,0,0
34021353,0,16693,1,8.2,-0.01,-0.01,0,9.66,-0.05,0.05,0,0,0,-0.14,18.27,0,0,0,0,0,0,1,0,0
34038454,0,17101,1,8.2,-0.01,-0.01,0,9.68,-0.04,0.12,0,0,0,-0.14,18.27,0,0,0,0,0,0,1,0,0
34056305,0,17851,1,8.21,-0.01,-0.01,0,9.68,-0.05,0.09,0,0,0,-0.11,18.27,0,0,0,0,0,0,1,0,0
34073686,0,17381,1,8.21,-0.01,-0.01,0,9.68,-0.05,0.07,0,0,0,-0.13,18.27,0,0,0,0,0,0,1,0,0
34091132,0,17446,1,8.2,-0.01,-0.01,0,9.7,-0.05,0.1,0,0,0,-0.1,18.28,0,0,0,0,0,0,1,0,0
34108121,0,16989,1,8.21,-0.01,-0.01,0,9.66,-0.03,0.09,0,0,0,-0.1,18.28,0,0,0,0,0,0,1,0,0
34125245,0,17124,1,8.22,-0.01,-0.01,0,9.66,-0.05,0.08,0,0,0,-0.07,18.27,0,0,0,0,0,0,1,0,0
34142037,0,16792,1,8.21,-0.01,-0.01,0,9.68,-0.06,0.1,0,0,0,-0.06,18.27,0,0,0,0,0,0,1,0,0
34160375,0,18338,1,8.22,-0.01,-0.01,0,9.67,-0.06,0.13,0,0,0,-0.1,18.28,0,0,0,0,0,0,1,0,0
34180175,0,19800,1,8.21,-0.01,-0.01,0,9.68,-0.05,0.07,0,0,0,-0.09,18.28,0,0,0,0,0,0,1,0,0
34197276,0,17101,1,8.21,-0.01,-0.01,0,9.69,-0.04,0.1,0,0,0,-0.09,18.28,0,0,0,0,0,0,1,0,0
34215240,0,17964,1,8.21,-0.01,-0.01,0,9.68,-0.05,0.11,0,0,0,-0.1,18.27,0,0,0,0,0,0,1,0,0
34231951,0,16711,1,8.22,-0.01,-0.01,0,9.66,-0.04,0.08,0,0,0,-0.07,18.28,0,0,0,0,0,0,1,0,0
34249388,0,17437,1,8.21,-0.01,-0.01,0,9.66,-0.04,0.08,0,0,0,-0.08,18.28,0,0,0,0,0,0,1,0,0
34266090,0,16702,1,8.22,-0.01,-0.01,0,9.68,-0.05,0.12,0,0,0,-0.09,18.28,0,0,0,0,0,0,1,0,0
34284727,0,18637,1,8.21,-0.01,-0.01,0,9.68,-0.04,0.09,0,0,0,-0.08,18.29,0,0,0,0,0,0,1,0,0
34302758,0,18031,1,8.21,-0.01,-0.01,0,9.68,-0.05,0.08,0,0,0,-0.07,18.27,0,0,0,0,0,0,1,0,0
34319804,0,17046,1,8.21,-0.01,-0.01,0,9.66,-0.04,0.09,0,0,0,-0.07,18.27,0,0,0,0,0,0,1,0,0
